t,M,central_I,tau
10.75,161.62616025857562,1.0,20.948412543944617
11.0,161.7815257532196,1.0,20.988609660031727
11.25,161.9305548900938,1.0,21.027203685610942
11.5,162.0736023111558,1.0,21.064282052891752
11.75,162.21099664888783,1.0,21.0999259470604
12.0,162.34304289731395,1.0,21.134210861727293
12.25,162.47002452544382,1.0,21.167207095438656
12.5,162.59220536547787,1.0,21.198980196487785
12.75,162.70983130352363,1.0,21.229591362256897
13.0,162.82313179670837,1.0,21.259097798470613
13.25,162.9323212373077,1.0,21.28755304302178
13.5,163.03760018173944,1.0,21.31500725841658
13.75,163.13915645991653,1.0,21.341507496362503
14.0,163.2371661784424,1.0,21.36709793757474
14.25,163.331794629412,1.0,21.391820109491537
14.5,163.42319711510555,1.0,21.41571308425812
14.75,163.51151969759337,1.0,21.43881365905317
15.0,163.5968998811735,1.0,21.461156520584566
15.25,163.67946723461753,1.0,21.482774395366587
15.5,163.75934395937912,1.0,21.503698187204993
15.75,163.83664540920557,1.0,21.52395710315341
16.0,163.91148056597308,1.0,21.543578769063497
16.25,163.98395247602235,1.0,21.562589335726685
16.5,164.0541586507985,1.0,21.581013576497096
16.75,164.12219143518394,1.0,21.59887497718973
17.0,164.18813834654551,1.0,21.616195818963497
17.25,164.25208238719983,1.0,21.632997254825188
17.5,164.31410233271492,1.0,21.64929938032473
17.75,164.37427299821684,1.0,21.665121298953856
18.0,164.43266548465087,1.0,21.680481182709677
18.25,164.48934740674696,1.0,21.695396328237994
18.5,164.54438310427025,1.0,21.70988320893189
18.75,164.59783383797787,1.0,21.723957523323662
19.0,164.6497579715691,1.0,21.73763424007703
19.25,164.7002111407914,1.0,21.750927639857014
19.5,164.74924641075563,1.0,21.763851354329503
19.75,164.79691442241523,1.0,21.776418402519077
20.0,164.84326352907686,1.0,21.78864122473335
20.25,164.8883399237303,1.0,21.80053171424291
20.5,164.93218775791564,1.0,21.81210124688987
20.75,164.97484925278042,1.0,21.8233607087821
21.0,165.01636480292382,1.0,21.834320522217308
21.25,165.056773073572,1.0,21.844990669968517
21.5,165.09611109158232,1.0,21.855380718051276
21.75,165.13441433073154,1.0,21.865499837082975
22.0,165.17171679170605,1.0,21.87535682233564
22.25,165.20805107717592,1.0,21.884960112575016
22.5,165.24344846230437,1.0,21.894317807771394
22.75,165.2779389610149,1.0,21.903437685760778
23.0,165.31155138831298,1.0,21.912327217928677
23.25,165.34431341893557,1.0,21.92099358398336
23.5,165.37625164257923,1.0,21.929443685879754
23.75,165.40739161593962,1.0,21.93768416095105
24.0,165.4377579117761,1.0,21.945721394300346
24.25,165.46737416519858,1.0,21.953561530500664
24.5,165.49626311736057,1.0,21.961210484648515
24.75,165.524446656726,1.0,21.96867395281227
