t,M
429.0,149.98093091488656
430.0,149.98088645913975
431.0,149.9808420033666
432.0,149.9807975475671
433.0,149.98075309174124
434.0,149.98070863588902
435.0,149.98066418001045
436.0,149.98061972410554
437.0,149.98057526817425
438.0,149.9805308122166
439.0,149.98048635623263
440.0,149.9804419002223
441.0,149.9803974441856
442.0,149.98035298812255
443.0,149.98030853203315
444.0,149.98026407591738
445.0,149.98021961977526
446.0,149.9801751636068
447.0,149.98013070741197
448.0,149.98008625119078
449.0,149.98004179494325
450.0,149.97999733866936
451.0,149.9799528823691
452.0,149.9799084260425
453.0,149.97986396968955
454.0,149.97981951331025
455.0,149.97977505690457
456.0,149.97973060047255
457.0,149.97968614401418
458.0,149.97964168752944
459.0,149.97959723101835
460.0,149.9795527744809
461.0,149.97950831791712
462.0,149.97946386132696
463.0,149.97941940471046
464.0,149.9793749480676
465.0,149.97933049139837
466.0,149.9792860347028
467.0,149.97924157798087
468.0,149.97919712123257
469.0,149.97915266445793
470.0,149.97910820765694
471.0,149.9790637508296
472.0,149.97901929397588
473.0,149.97897483709582
474.0,149.9789303801894
475.0,149.97888592325663
476.0,149.9788414662975
477.0,149.97879700931202
478.0,149.97875255230016
479.0,149.97870809526196
480.0,149.97866363819742
481.0,149.9786191811065
482.0,149.97857472398923
483.0,149.9785302668456
484.0,149.97848580967562
485.0,149.97844135247928
486.0,149.9783968952566
487.0,149.97835243800753
488.0,149.97830798073213
489.0,149.97826352343037
490.0,149.97821906610224
491.0,149.97817460874776
492.0,149.97813015136694
493.0,149.97808569395974
494.0,149.9780412365262
495.0,149.9779967790663
496.0,149.97795232158003
497.0,149.97790786406742
498.0,149.97786340652846
499.0,149.97781894896312
500.0,149.97777449137143
501.0,149.9777300337534
502.0,149.977685576109
503.0,149.97764111843824
504.0,149.9775966607411
505.0,149.97755220301764
506.0,149.97750774526781
507.0,149.97746328749162
508.0,149.97741882968907
509.0,149.97737437186018
510.0,149.9773299140049
511.0,149.9772854561233
512.0,149.97724099821534
513.0,149.977196540281
514.0,149.97715208232032
515.0,149.97710762433326
516.0,149.97706316631985
517.0,149.9770187082801
518.0,149.97697425021397
519.0,149.9769297921215
520.0,149.97688533400267
521.0,149.97684087585748
522.0,149.97679641768593
523.0,149.976751959488
524.0,149.97670750126375
525.0,149.97666304301313
526.0,149.97661858473614
527.0,149.9765741264328
528.0,149.97652966810313
529.0,149.97648520974707
530.0,149.97644075136466
531.0,149.97639629295588
532.0,149.97635183452076
533.0,149.97630737605928
534.0,149.97626291757143
535.0,149.97621845905724
536.0,149.97617400051666
537.0,149.97612954194975
538.0,149.97608508335648
539.0,149.97604062473684
540.0,149.97599616609085
541.0,149.9759517074185
542.0,149.97590724871978
543.0,149.97586278999472
544.0,149.9758183312433
545.0,149.9757738724655
546.0,149.97572941366136
547.0,149.97568495483085
548.0,149.97564049597398
549.0,149.97559603709075
550.0,149.97555157818118
551.0,149.97550711924524
552.0,149.97546266028294
553.0,149.97541820129427
554.0,149.97537374227926
555.0,149.97532928323787
556.0,149.97528482417013
557.0,149.97524036507605
558.0,149.9751959059556
559.0,149.97515144680878
560.0,149.9751069876356
561.0,149.97506252843607
562.0,149.97501806921017
563.0,149.9749736099579
564.0,149.97492915067932
565.0,149.97488469137434
566.0,149.97484023204302
567.0,149.97479577268533
568.0,149.97475131330128
569.0,149.97470685389086
570.0,149.9746623944541
571.0,149.97461793499096
572.0,149.97457347550147
573.0,149.97452901598564
574.0,149.97448455644343
575.0,149.97444009687487
576.0,149.97439563727994
577.0,149.97435117765866
578.0,149.974306718011
579.0,149.974262258337
580.0,149.97421779863663
581.0,149.9741733389099
582.0,149.9741288791568
583.0,149.97408441937736
584.0,149.97403995957157
585.0,149.9739954997394
586.0,149.9739510398809
587.0,149.973906579996
588.0,149.97386212008476
589.0,149.97381766014715
590.0,149.9737732001832
591.0,149.97372874019285
592.0,149.97368428017617
593.0,149.97363982013312
594.0,149.9735953600637
595.0,149.97355089996793
596.0,149.9735064398458
597.0,149.9734619796973
598.0,149.97341751952246
599.0,149.97337305932123
600.0,149.97332859909366
601.0,149.97328413883972
602.0,149.97323967855942
